expense_id,expense_date,cardholder_id,cardholder_name,card_program,card_last4,category,merchant,amount,client_count_at_time
EXP_0000507,2025-01-03,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,Slack,55.57,96
EXP_0001540,2025-10-03,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Starbucks,197.27,172
EXP_0001913,2025-12-15,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,DocuSign,437.01,187
EXP_0000932,2025-05-20,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,AWS,183.7,138
EXP_0000876,2025-05-04,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,AWS,794.4676975174139,133
EXP_0000283,2024-09-22,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,Apple,561.96,60
EXP_0000415,2024-11-26,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Delta,44.65,84
EXP_0001174,2025-07-16,CH_0002,Jeff,Visa Business,7735,Software & Subscriptions,Slack,53.58,150
EXP_0000835,2025-04-22,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,DocuSign,506.93,128
EXP_0002084,2026-01-22,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Uber,313.78,198
EXP_0001212,2025-07-25,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Topgolf,789.27,151
EXP_0001152,2025-07-11,CH_0002,Jeff,Visa Business,7735,Software & Subscriptions,Slack,577.64,150
EXP_0001260,2025-08-05,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Delta,53.57,153
EXP_0000403,2024-11-17,CH_0002,Jeff,Visa Business,7735,Software & Subscriptions,DocuSign,207.08,82
EXP_0001178,2025-07-16,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Topgolf,491.18,150
EXP_0002094,2026-01-23,CH_0001,Antoine,Visa Business,1842,Client Hosting & Entertainment,Pebble Beach,898.02,198
EXP_0000965,2025-05-30,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Shell,144.49,141
EXP_0001850,2025-12-04,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,UPS,570.52,186
EXP_0000277,2024-09-20,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Delta,346.4214012152317,59
EXP_0000480,2024-12-20,CH_0002,Jeff,Visa Business,7735,Software & Subscriptions,Salesforce,684.7,91
EXP_0001534,2025-10-01,CH_0002,Jeff,Visa Business,7735,Other Business Expenses,Staples,370.93,172
EXP_0002150,2026-02-02,CH_0002,Jeff,Visa Business,7735,Other Business Expenses,Best Buy,382.29,200
EXP_0001147,2025-07-10,CH_0002,Jeff,Visa Business,7735,Software & Subscriptions,AWS,688.24,150
EXP_0000459,2024-12-13,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Lyft,314.34,90
EXP_0000597,2025-02-04,CH_0002,Jeff,Visa Business,7735,Other Business Expenses,UPS,89.29,104
EXP_0000123,2024-06-06,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,Best Buy,111.91378752199978,33
EXP_0000606,2025-02-06,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Uber,257.31,105
EXP_0001245,2025-08-01,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,Salesforce,761.9,152
EXP_0002152,2026-02-02,CH_0001,Antoine,Visa Business,1842,Client Hosting & Entertainment,Topgolf,289.25,200
EXP_0001692,2025-11-05,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Staples Center,260.85,181
EXP_0000882,2025-05-05,CH_0002,Jeff,Visa Business,7735,Software & Subscriptions,DocuSign,211.8467838436006,133
EXP_0000222,2024-08-17,CH_0001,Antoine,Visa Business,1842,Gas & Travel,Uber,168.08,51
EXP_0000788,2025-04-09,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Uber,129.30911776408237,125
EXP_0001436,2025-09-11,CH_0001,Antoine,Visa Business,1842,Gas & Travel,United,146.58,165
EXP_0000457,2024-12-13,CH_0001,Antoine,Visa Business,1842,Client Hosting & Entertainment,Topgolf,428.09,90
EXP_0000545,2025-01-20,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,Staples,112.67,103
EXP_0000954,2025-05-27,CH_0002,Jeff,Visa Business,7735,Other Business Expenses,Best Buy,150.49,141
EXP_0001855,2025-12-05,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,Best Buy,366.45,186
EXP_0000708,2025-03-16,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,Apple,571.01,112
EXP_0000394,2024-11-15,CH_0001,Antoine,Visa Business,1842,Software & Subscriptions,Zoom,425.93,78
EXP_0000081,2024-04-22,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Shell,258.96,19
EXP_0001291,2025-08-11,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Pebble Beach,1082.51,156
EXP_0001423,2025-09-08,CH_0001,Antoine,Visa Business,1842,Client Hosting & Entertainment,Pebble Beach,751.05,165
EXP_0001449,2025-09-14,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Pebble Beach,669.42,165
EXP_0000142,2024-06-21,CH_0001,Antoine,Visa Business,1842,Gas & Travel,Lyft,265.62,37
EXP_0001260,2025-08-05,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Delta,56.77747551709555,153
EXP_0000962,2025-05-29,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Lyft,218.95,141
EXP_0001729,2025-11-13,CH_0001,Antoine,Visa Business,1842,Gas & Travel,Uber,192.03,182
EXP_0002090,2026-01-23,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,Best Buy,77.94,198
EXP_0000569,2025-01-26,CH_0002,Jeff,Visa Business,7735,Gas & Travel,Chevron,151.91,103
EXP_0000768,2025-04-03,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Nobu,391.25,124
EXP_0001085,2025-06-27,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,Best Buy,503.53916426976195,146
EXP_0002155,2026-02-03,CH_0002,Jeff,Visa Business,7735,Client Hosting & Entertainment,Pebble Beach,738.72,200
EXP_0000123,2024-06-06,CH_0001,Antoine,Visa Business,1842,Other Business Expenses,Best Buy,118.79233063631504,33
EXP_0000414,2024-11-25,CH_0001,Antoine,Visa Business,1842,Gas & Travel,Lyft,267.06,84
